info,houseId,name,url,price,cover,flood,address
派克公馆   | 叠拼别墅 | 4室2厅 | 397.41平米 | 东南 | 其他,106100489647,叠拼别墅  带前后花园 均价8000多,https://cd.lianjia.com/ershoufang/106100489647.html,330万,https://image1.ljcdn.com/510100-inspection/92608795-fe02-47e5-b8f0-87ab3c56b17d.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,派克公馆 
国奥村   | 联排别墅 | 4室2厅 | 188.73平米 | 东 | 其他,106100355437,国奥村是双流新城品质很高的小区,https://cd.lianjia.com/ershoufang/106100355437.html,340万,https://image1.ljcdn.com/510100-inspection/b6e0eb74-5153-468f-9254-ac106aa7061e.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,国奥村 
君临天下   | 双拼别墅 | 4室2厅 | 282平米 | 东南 | 毛坯,106100382740,《双拼别墅》全别墅小区 清水 前后花园 双车位,https://cd.lianjia.com/ershoufang/106100382740.html,380万,https://image1.ljcdn.com/510100-inspection/1bf6ea08-3a11-4703-aebe-c16cfb552d3d.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,君临天下 
君临天下   | 双拼别墅 | 4室2厅 | 197平米 | 南 | 毛坯,106091428823,《双拼别墅》全别墅小区 带花园 1个车位 中间位置,https://cd.lianjia.com/ershoufang/106091428823.html,300万,https://image1.ljcdn.com/510100-inspection/d34b1885-8f4c-4488-a2f1-d12bea3e41305.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,君临天下 
春语花间  | 2室2厅 | 88.64平米 | 西南 | 其他,106100305566,春语花间 有装修套二 客厅卧室带阳台 安静对中庭,https://cd.lianjia.com/ershoufang/106100305566.html,165万,https://image1.ljcdn.com/510100-inspection/cd459c25-482d-4642-818e-1ed3e9d9cf13.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,春语花间 
麓山国际塞尔维蒙   | 叠拼别墅 | 3室2厅 | 134.66平米 | 东南 | 其他,106100434373,麓山国际  塞尔维蒙  花园洋房 ,https://cd.lianjia.com/ershoufang/106100434373.html,205万,https://image1.ljcdn.com/510100-inspection/3dd23346-e400-4aa5-8fe9-74bbb2018c6d.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,麓山国际塞尔维蒙 
彩叠园1B期  | 4室2厅 | 149.51平米 | 南 | 其他,106100518138,彩叠园1B 4室2厅1厨3卫 交通便利小区环境适合居住,https://cd.lianjia.com/ershoufang/106100518138.html,185万,https://image1.ljcdn.com/510100-inspection/628c5862-150b-4825-8a34-7cf7d7565d1d.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,彩叠园1B期 
美洲花园二期  | 4室3厅 | 188.21平米 | 东南 | 其他,106100218746,美洲花园密苏里小城 叠拼 清水房 套四 带阳台花园,https://cd.lianjia.com/ershoufang/106100218746.html,270万,https://image1.ljcdn.com/510100-inspection/96dcbe56-dfaa-48ca-83b5-85ed132f973c.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,美洲花园二期 
三利宅院三期   | 联排别墅 | 5室2厅 | 395平米 | 北 | 毛坯,106092463725,三利宅院三期 联排别墅 有车位 清水房,https://cd.lianjia.com/ershoufang/106092463725.html,530万,https://image1.ljcdn.com/510100-inspection/44b47b1a-8a29-4c97-bf54-edfd741752e25.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,三利宅院三期 
成都后花园二期   | 叠拼别墅 | 4室2厅 | 291.22平米 | 东南 | 其他,106100464539,成都后花园二期，  半装修下叠，,https://cd.lianjia.com/ershoufang/106100464539.html,450万,https://image1.ljcdn.com/510100-inspection/8e4cb2a0-df10-443e-848f-69d2e9c99140.jpg.437x300.jpg,下叠(共4层)2007年建  -  成外,成都后花园二期 
